Article Number,Name of the Offer,Card name,Card language,condition,auction date,number of bids,final bid,currency,shipping fee,seller,items sold by seller,images,local path,auction type,url
197,CARTE DRACAUFEU POKEMON - EDITION 1 - possible PSA 10 - SET DE BASE - 4/102 -,Charizard,French,Neu,2021-07-09 15:49:00,No auction,201.0,EUR,10.5,benoipari3,1),"['https://i.ebayimg.com/images/g/4GsAAOSwiMBhM3Ge/s-l1600.jpg', 'https://i.ebayimg.com/images/g/-k8AAOSwmTRhM3Gg/s-l1600.jpg', 'https://i.ebayimg.com/images/g/eo8AAOSwVklhM3Gj/s-l1600.jpg', 'https://i.ebayimg.com/images/g/X0MAAOSwFcFhM3Gm/s-l1600.jpg']",0,0,0
191,POKEMON BASE KARTE GORE 1.EDITION 75/102/1999  PSA 10,Other,0,Gebraucht,2021-08-09 21:20:00,No auction,121.0,EUR,8.49,dane662,61,"['https://i.ebayimg.com/images/g/sy0AAOSwxwhhNOmv/s-l1600.jpg', 'https://i.ebayimg.com/images/g/1rIAAOSwnK1hNOnA/s-l1600.jpg']",0,0,0
189,PSA 10 Voltobal 1st Edition 1999 Pokemon German 1 Deutsch Base Set 67/102,Voltorb,German,Gebraucht,2021-11-09 21:54:00,No auction,88.89,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/zJEAAOSw-2NhNnG7/s-l1600.jpg', 'https://i.ebayimg.com/images/g/oRIAAOSwAuphNnG-/s-l1600.jpg']",0,0,0
188,Pokemon Sandan Base Set 1. Edition Deutsch PSA 10 BGS PGS,Sandshrew,German,Gebraucht,2021-11-09 21:57:00,No auction,91.91,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/YNYAAOSwVYthNnJq/s-l1600.jpg', 'https://i.ebayimg.com/images/g/VRYAAOSwn35hNnJs/s-l1600.jpg']",0,0,0
187,PSA 10 Jugong 1st Edition 1999 Pokemon German 1 Deutsch Base Set 25/102,Dewgong,German,Gebraucht,2021-11-09 22:19:00,No auction,101.0,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/38sAAOSwOuhhNneq/s-l1600.jpg', 'https://i.ebayimg.com/images/g/CiQAAOSwHlphNnes/s-l1600.jpg']",0,0,0
186,Alakazam Set Base 1/102 INGLESE Holo ENG (NO ZARD-NO CRYSTAL- NO PSA10),Alakazam,English,Gebraucht,2021-12-09 07:26:00,No auction,27.5,EUR,20,salvenzoss,59,"['https://i.ebayimg.com/images/g/mw0AAOSwrz5hL21h/s-l1600.jpg', 'https://i.ebayimg.com/images/g/Wk0AAOSwUE9hL20m/s-l1600.jpg', 'https://i.ebayimg.com/images/g/c7cAAOSwBAVhL20x/s-l1600.jpg', 'https://i.ebayimg.com/images/g/VDUAAOSwpP9hL21B/s-l1600.jpg', 'https://i.ebayimg.com/images/g/7UIAAOSw1UphL21s/s-l1600.jpg', 'https://i.ebayimg.com/images/g/OoUAAOSw-KdhL21V/s-l1600.jpg', 'https://i.ebayimg.com/images/g/0JwAAOSwKcRhL21Z/s-l1600.jpg', 'https://i.ebayimg.com/images/g/T~IAAOSw6PZhL21p/s-l1600.jpg']",0,0,0
184,Blastoise / Turtok - PSA 10 Gem Mint - Expedition Base Set 2002 - English,Blastoise,English,--,2021-12-09 18:58:00,No auction,2565.0,EUR,9.5,alex-poke-world,108,"['https://i.ebayimg.com/images/g/X5kAAOSwNsthNPHu/s-l1600.jpg', 'https://i.ebayimg.com/images/g/5u0AAOSwvBFhNPcH/s-l1600.jpg']",0,0,0
183,SHADOWLESS ERROR PIKACHU NM YELLOW CHEEKS base set charizard NM psa 10 holo,Pikachu,English,Gebraucht,2021-12-09 19:00:00,No auction,32.0,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/fsYAAOSwNSVhN5pJ/s-l1600.jpg', 'https://i.ebayimg.com/images/g/~j4AAOSw-K9hN5pL/s-l1600.jpg', 'https://i.ebayimg.com/images/g/MVcAAOSwp09hN5pM/s-l1600.jpg', 'https://i.ebayimg.com/images/g/VH8AAOSwSbRhN5pO/s-l1600.jpg', 'https://i.ebayimg.com/images/g/mMsAAOSwX-phN5pP/s-l1600.jpg', 'https://i.ebayimg.com/images/g/mM0AAOSwX-phN5pR/s-l1600.jpg', 'https://i.ebayimg.com/images/g/H9wAAOSwxzphN5pS/s-l1600.jpg', 'https://i.ebayimg.com/images/g/kUgAAOSwgPNhN5pU/s-l1600.jpg']",0,0,0
182,[PSA 10] Pokémon Karte Abra Base Set 2 GEM Mint 2000,Abra,English,Gebraucht,2021-12-09 19:16:00,No auction,61.0,EUR,4.99,lisa-kar-0,65,['https://i.ebayimg.com/images/g/LPcAAOSwGi9hNPse/s-l1600.jpg'],0,0,0
180,Carte Pokémon Dracaufeu édition 1 set de base 04/120 PSA 10,Charizard,French,Neu,2021-12-09 19:37:00,No auction,1010.0,EUR,15,emmanart-85,3),"['https://i.ebayimg.com/images/g/Ur4AAOSwdRVhO8d3/s-l1600.jpg', 'https://i.ebayimg.com/images/g/8XwAAOSwdclhO8f1/s-l1600.jpg', 'https://i.ebayimg.com/images/g/vu8AAOSw3F1hO8br/s-l1600.jpg']",0,0,0
